Date,Income,Category,Amount
2023-05-01,Apartment 2B Rent,rent received,18000
2023-05-02,Fixed Deposit Interest,interest,2500
2023-05-03,Retirement Fund Distribution,annuity,7500
2023-05-04,Part-time Job Payment,salary,8000
2023-05-05,Consulting Services,other,12000
2023-05-06,Apartment 3C Rent,rent received,22000
2023-05-07,Savings Account Interest,interest,850
2023-05-08,Monthly Annuity Payment,annuity,5500
2023-05-09,Freelance Work,salary,6500
2023-05-10,Tutoring Sessions,other,3500
2023-05-11,Shop Space Rent,rent received,15000
2023-05-12,Treasury Bond Interest,interest,3200
2023-05-13,Pension Fund,annuity,9800
2023-05-14,Contract Work,salary,7500
2023-05-15,Monthly Salary,salary,75000
2023-05-16,Garage Rental,rent received,5000
2023-05-17,Post Office Deposit Interest,interest,1800
2023-05-18,Insurance Payout,annuity,12500
2023-05-19,Online Course Teaching,salary,9000
2023-05-20,Equipment Rental,other,4500
2023-05-21,Commercial Property Rent,rent received,35000
2023-05-22,Corporate Bond Interest,interest,4800
2023-05-23,Retirement Annuity,annuity,6200
2023-05-24,Commission Payment,salary,8500
2023-05-25,Asset Sale,other,22000
2023-05-26,Basement Rental,rent received,8000
2023-05-27,Mutual Fund Interest,interest,5200
2023-05-28,Life Insurance Maturity,annuity,18000
2023-05-29,Bonus Payment,salary,15000
2023-05-30,Royalty Income,other,3600
2023-05-31,Parking Space Rental,rent received,2500
